year,subcategory,total,pos,pos_rate,wohlers_pct,diff_pct
2012,Academic Institutions,3226,1750,54.246745195288284,6.8,47.44674519528829
2012,Aerospace,989,630,63.70070778564207,10.2,53.500707785642064
2012,Architectural,2898,1785,61.59420289855072,3.9,57.69420289855072
2012,Consumer Products / Electronics,12797,7765,60.67828397280613,20.3,40.37828397280613
2012,Government / Military,2393,426,17.801922273297116,5.2,12.601922273297117
2012,Industrial / Business Machines,1597,843,52.78647463994991,13.4,39.38647463994991
2012,Medical / Dental,6194,4673,75.44397804326768,16.4,59.04397804326768
2012,Motor Vehicles / Automotive,1576,1046,66.37055837563452,18.6,47.770558375634515
2012,Other,10255,5104,49.77084349098001,3.6,46.17084349098001
2013,Academic Institutions,9034,5274,58.379455390746074,6.4,51.979455390746075
2013,Aerospace,3660,2579,70.46448087431693,12.3,58.164480874316936
2013,Architectural,6992,4257,60.88386727688787,3.8,57.08386727688787
2013,Consumer Products / Electronics,28633,17707,61.84123214472811,18.0,43.84123214472811
2013,Government / Military,10535,1540,14.61794019933555,5.4,9.21794019933555
2013,Industrial / Business Machines,3866,2072,53.59544749094671,18.5,35.09544749094671
2013,Medical / Dental,16901,13806,81.68747411395776,13.7,67.98747411395776
2013,Motor Vehicles / Automotive,3930,2667,67.86259541984732,17.3,50.56259541984733
2013,Other,25274,11258,44.543799952520374,4.5,40.043799952520374
2014,Academic Institutions,13464,8402,62.40344622697563,7.0,55.40344622697563
2014,Aerospace,5378,3668,68.20379323168464,10.0,58.20379323168464
2014,Architectural,12025,8218,68.34095634095634,4.0,64.34095634095634
2014,Consumer Products / Electronics,39882,25321,63.489794894940076,22.0,41.489794894940076
2014,Government / Military,6110,2397,39.23076923076923,6.0,33.23076923076923
2014,Industrial / Business Machines,5326,3064,57.52910251595944,14.0,43.52910251595944
2014,Medical / Dental,27053,22446,82.97046538276716,16.0,66.97046538276716
2014,Motor Vehicles / Automotive,7807,5419,69.41206609453054,18.0,51.412066094530545
2014,Other,26331,13240,50.28293646272455,4.0,46.28293646272455
2015,Academic Institutions,16909,11079,65.52132000709682,10.5,55.02132000709682
2015,Aerospace,5377,4055,75.413799516459,16.6,58.81379951645899
2015,Architectural,14512,10137,69.85253583241456,3.1,66.75253583241457
2015,Consumer Products / Electronics,41188,27923,67.794017675051,13.1,54.69401767505099
2015,Government / Military,5013,1985,39.597047676042294,5.9,33.697047676042295
2015,Industrial / Business Machines,8033,5010,62.367733100958546,19.9,42.46773310095855
2015,Medical / Dental,34734,29421,84.7037484885127,12.2,72.5037484885127
2015,Motor Vehicles / Automotive,10612,7648,72.06935544666415,13.8,58.26935544666415
2015,Other,30150,17006,56.40464344941957,4.9,51.50464344941957
2016,Academic Institutions,19864,13211,66.50724929520742,8.1,58.407249295207414
2016,Aerospace,5141,3543,68.91655319976658,18.2,50.71655319976658
2016,Architectural,11307,7641,67.57760679225258,3.0,64.57760679225258
2016,Consumer Products / Electronics,35981,23406,65.05099913843418,12.8,52.25099913843418
2016,Government / Military,5280,2145,40.625,6.2,34.425
2016,Industrial / Business Machines,7649,4561,59.62870963524644,18.8,40.82870963524644
2016,Medical / Dental,29201,23458,80.33286531283174,11.0,69.33286531283174
2016,Motor Vehicles / Automotive,8899,6185,69.50219125744465,14.8,54.70219125744465
2016,Other,26413,14462,54.753341157763224,7.2,47.55334115776322
2017,Academic Institutions,17890,12329,68.91559530463947,7.9,61.01559530463947
2017,Aerospace,5011,3533,70.50488924366394,18.9,51.60488924366394
2017,Architectural,11734,8394,71.53570819839781,2.1,69.43570819839782
2017,Consumer Products / Electronics,24681,15226,61.691179449779185,11.7,49.99117944977918
2017,Government / Military,4480,2114,47.1875,5.1,42.0875
2017,Industrial / Business Machines,7079,4094,57.83302726373781,20.0,37.83302726373781
2017,Medical / Dental,24765,19937,80.5047445992328,11.3,69.2047445992328
2017,Motor Vehicles / Automotive,6315,4359,69.02612826603325,16.0,53.026128266033254
2017,Other,18251,9190,50.353405292860664,7.0,43.353405292860664
2018,Academic Institutions,17893,13506,75.4820320795842,4.7,70.7820320795842
2018,Aerospace,3410,2382,69.85337243401759,17.7,52.153372434017584
2018,Architectural,13035,9651,74.0391254315305,2.8,71.2391254315305
2018,Consumer Products / Electronics,20828,13023,62.52640676013059,13.6,48.92640676013059
2018,Government / Military,8986,2154,23.970620965947028,5.2,18.77062096594703
2018,Industrial / Business Machines,6616,3982,60.18742442563483,19.8,40.38742442563483
2018,Medical / Dental,20780,17033,81.9682386910491,11.5,70.4682386910491
2018,Motor Vehicles / Automotive,6850,5000,72.99270072992701,19.6,53.39270072992701
2018,Other,15850,7721,48.71293375394322,5.0,43.71293375394322
2019,Academic Institutions,18414,14115,76.65363310524602,3.0,73.65363310524602
2019,Aerospace,3861,2740,70.96607096607097,18.0,52.96607096607097
2019,Architectural,9822,7085,72.13398493178579,3.0,69.13398493178579
2019,Consumer Products / Electronics,19008,11992,63.089225589225585,14.0,49.089225589225585
2019,Government / Military,3867,1716,44.37548487199379,5.0,39.37548487199379
2019,Industrial / Business Machines,6650,4015,60.37593984962406,20.0,40.37593984962406
2019,Medical / Dental,18776,14980,79.7827013208351,12.0,67.7827013208351
2019,Motor Vehicles / Automotive,5275,3830,72.60663507109004,20.0,52.60663507109004
2019,Other,14263,7272,50.985066255346,5.0,45.985066255346
2020,Academic Institutions,9730,7502,77.10174717368962,14.4,62.70174717368962
2020,Aerospace,2514,1743,69.33174224343675,15.9,53.43174224343675
2020,Architectural,6534,4746,72.63544536271809,6.0,66.63544536271809
2020,Consumer Products / Electronics,16141,9937,61.56371971996778,12.7,48.863719719967776
2020,Government / Military,4848,2628,54.207920792079214,6.8,47.40792079207922
2020,Medical / Dental,36916,30969,83.89045400368403,13.9,69.99045400368402
2020,Motor Vehicles / Automotive,4248,2972,69.9623352165725,16.0,53.9623352165725
2020,Power / Energy,2230,1560,69.95515695067265,10.9,59.05515695067265
2021,Academic Institutions,8751,6687,76.41412410010284,11.1,65.31412410010284
2021,Aerospace,2565,1814,70.72124756335283,16.8,53.921247563352836
2021,Architectural,10623,7643,71.94766073613856,4.5,67.44766073613856
2021,Consumer Products / Electronics,16110,10086,62.6070763500931,11.8,50.8070763500931
2021,Government / Military,3801,1196,31.465403841094446,6.0,25.465403841094446
2021,Medical / Dental,9618,7354,76.46080266167601,15.6,60.86080266167601
2021,Motor Vehicles / Automotive,2966,2035,68.61092380310183,14.6,54.010923803101825
2021,Other,12440,5555,44.654340836012864,12.6,32.05434083601286
2021,Power / Energy,1755,1246,70.997150997151,7.0,63.997150997150996
2022,Academic Institutions,8329,6527,78.36474966982831,12.3,66.06474966982832
2022,Aerospace,1968,1389,70.57926829268293,13.9,56.67926829268293
2022,Architectural,6425,4488,69.85214007782102,4.3,65.55214007782102
2022,Consumer Products / Electronics,14943,8912,59.6399652010975,14.5,45.1399652010975
2022,Government / Military,4981,1246,25.015057217426218,6.1,18.915057217426217
2022,Medical / Dental,7146,5344,74.78309543800728,12.1,62.68309543800728
2022,Motor Vehicles / Automotive,2805,1883,67.1301247771836,15.8,51.3301247771836
2022,Other,10831,4566,42.156772227864465,13.3,28.856772227864464
2022,Power / Energy,1745,1177,67.44985673352436,7.8,59.64985673352436
2023,Academic Institutions,5268,4299,81.60592255125285,9.7,71.90592255125284
2023,Aerospace,2901,1733,59.73802137194071,13.3,46.43802137194071
2023,Architectural,4849,3538,72.96349762837698,4.5,68.46349762837698
2023,Consumer Products / Electronics,12064,7830,64.90384615384616,14.0,50.90384615384616
2023,Government / Military,3518,1136,32.29107447413303,9.6,22.691074474133032
2023,Medical / Dental,4805,3776,78.58480749219564,13.7,64.88480749219563
2023,Motor Vehicles / Automotive,1735,1135,65.4178674351585,14.4,51.0178674351585
2023,Other,7444,3497,46.97743148844707,14.5,32.47743148844707
2023,Power / Energy,1197,860,71.84628237259815,6.3,65.54628237259816
