year,subcategory,count,social_pct,wohlers_pct,diff_pct
2012,Academic Institutions,3226,6.867628901094222,6.8,0.06762890109422237
2012,Aerospace,989,2.1054200195853023,10.2,-8.094579980414697
2012,Architectural,2898,6.169370289947631,3.9,2.269370289947631
2012,Consumer Products / Electronics,12797,27.242730020862606,20.3,6.942730020862605
2012,Government / Military,2393,5.094307489249372,5.2,-0.10569251075062791
2012,Industrial / Business Machines,1597,3.3997530548814234,13.4,-10.000246945118576
2012,Medical / Dental,6194,13.186017797079236,16.4,-3.2139822029207625
2012,Motor Vehicles / Automotive,1576,3.355047473070209,18.6,-15.244952526929792
2012,Other,10255,21.83122578447652,3.6,18.231225784476518
2013,Academic Institutions,9034,7.601817569841804,6.4,1.2018175698418032
2013,Aerospace,3660,3.079771120834736,12.3,-9.220228879165266
2013,Architectural,6992,5.883540895321441,3.8,2.083540895321441
2013,Consumer Products / Electronics,28633,24.09373948165601,18.0,6.093739481656009
2013,Government / Military,10535,8.864860316391788,5.4,3.4648603163917873
2013,Industrial / Business Machines,3866,3.253113429821609,18.5,-15.246886570178392
2013,Medical / Dental,16901,14.22164254459778,13.7,0.5216425445977801
2013,Motor Vehicles / Automotive,3930,3.306967351060249,17.3,-13.993032648939751
2013,Other,25274,21.267250084146752,4.5,16.767250084146752
2014,Academic Institutions,13464,8.532643826761474,7.0,1.5326438267614737
2014,Aerospace,5378,3.4082411245041,10.0,-6.5917588754959
2014,Architectural,12025,7.620695336958312,4.0,3.6206953369583124
2014,Consumer Products / Electronics,39882,25.274725274725274,22.0,3.2747252747252737
2014,Government / Military,6110,3.87213709013017,6.0,-2.12786290986983
2014,Industrial / Business Machines,5326,3.375286766290227,14.0,-10.624713233709773
2014,Medical / Dental,27053,17.144504860767835,16.0,1.1445048607678352
2014,Motor Vehicles / Automotive,7807,4.947589895686781,18.0,-13.052410104313218
2014,Other,26331,16.68694627172136,4.0,12.68694627172136
2015,Academic Institutions,16909,9.13678977656499,10.5,-1.3632102234350096
2015,Aerospace,5377,2.905465647205036,16.6,-13.694534352794966
2015,Architectural,14512,7.841569178396779,3.1,4.741569178396778
2015,Consumer Products / Electronics,41188,22.255964120714346,13.1,9.155964120714346
2015,Government / Military,5013,2.708777996920001,5.9,-3.191222003079999
2015,Industrial / Business Machines,8033,4.340637073460676,19.9,-15.559362926539322
2015,Medical / Dental,34734,18.768540782968145,12.2,6.568540782968146
2015,Motor Vehicles / Automotive,10612,5.734201496771404,13.8,-8.065798503228596
2015,Other,30150,16.291573231026938,4.9,11.391573231026937
2016,Academic Institutions,19864,11.69826210373197,8.1,3.5982621037319706
2016,Aerospace,5141,3.027626131458219,18.2,-15.17237386854178
2016,Architectural,11307,6.658892952421336,3.0,3.6588929524213363
2016,Consumer Products / Electronics,35981,21.189849413732382,12.8,8.389849413732382
2016,Government / Military,5280,3.109485698132542,6.2,-3.0905143018674583
2016,Industrial / Business Machines,7649,4.504631838071176,18.8,-14.295368161928824
2016,Medical / Dental,29201,17.196987096812187,11.0,6.196987096812187
2016,Motor Vehicles / Automotive,8899,5.240779020394221,14.8,-9.55922097960578
2016,Other,26413,15.55508442135887,7.2,8.355084421358871
2017,Academic Institutions,17890,12.939389555909155,7.9,5.039389555909155
2017,Aerospace,5011,3.6243309706350355,18.9,-15.275669029364963
2017,Architectural,11734,8.48690872269637,2.1,6.38690872269637
2017,Consumer Products / Electronics,24681,17.85115000723275,11.7,6.151150007232751
2017,Government / Military,4480,3.2402719513959206,5.1,-1.859728048604079
2017,Industrial / Business Machines,7079,5.120063648199046,20.0,-14.879936351800954
2017,Medical / Dental,24765,17.911905106321424,11.3,6.611905106321423
2017,Motor Vehicles / Automotive,6315,4.567481556487777,16.0,-11.432518443512222
2017,Other,18251,13.200491826992621,7.0,6.2004918269926215
2018,Academic Institutions,17893,13.432174761654531,4.7,8.73217476165453
2018,Aerospace,3410,2.559867877786953,17.7,-15.140132122213046
2018,Architectural,13035,9.785301403798513,2.8,6.9853014037985135
2018,Consumer Products / Electronics,20828,15.635462803092862,13.6,2.0354628030928623
2018,Government / Military,8986,6.745739809323624,5.2,1.5457398093236234
2018,Industrial / Business Machines,6616,4.9665940995420765,19.8,-14.833405900457924
2018,Medical / Dental,20780,15.599429472261841,11.5,4.099429472261841
2018,Motor Vehicles / Automotive,6850,5.142256587343293,19.6,-14.457743412656708
2018,Other,15850,11.898506118159299,5.0,6.898506118159299
2019,Academic Institutions,18414,15.260558244381093,3.0,12.260558244381093
2019,Aerospace,3861,3.1997944705960353,18.0,-14.800205529403964
2019,Architectural,9822,8.139958894119207,3.0,5.139958894119207
2019,Consumer Products / Electronics,19008,15.752834316780481,14.0,1.752834316780481
2019,Government / Military,3867,3.204766956175827,5.0,-1.7952330438241728
2019,Industrial / Business Machines,6650,5.511171517602599,20.0,-14.488828482397402
2019,Medical / Dental,18776,15.560564874361866,12.0,3.560564874361866
2019,Motor Vehicles / Automotive,5275,4.371643572233641,20.0,-15.62835642776636
2019,Other,14263,11.820426970761785,5.0,6.820426970761785
2020,Academic Institutions,9730,7.772869251232235,14.4,-6.627130748767765
2020,Aerospace,2514,2.0083240799175583,15.9,-13.891675920082442
2020,Architectural,6534,5.219725353294083,6.0,-0.7802746467059167
2020,Consumer Products / Electronics,16141,12.894335311833455,12.7,0.19433531183345565
2020,Government / Military,4848,3.8728540729675105,6.8,-2.9271459270324893
2020,Medical / Dental,36916,29.490569504469597,13.9,15.590569504469597
2020,Motor Vehicles / Automotive,4248,3.3935404500754918,16.0,-12.606459549924509
2020,Power / Energy,2230,1.7814489650820025,10.9,-9.118551034917997
2021,Academic Institutions,8751,8.811890161012597,11.1,-2.2881098389874026
2021,Aerospace,2565,2.5828474760595714,16.8,-14.21715252394043
2021,Architectural,10623,10.696915687399935,4.5,6.196915687399935
2021,Consumer Products / Electronics,16110,16.222094674198715,11.8,4.422094674198714
2021,Government / Military,3801,3.8274476633537744,6.0,-2.1725523366462256
2021,Medical / Dental,9618,9.684922816663143,15.6,-5.915077183336857
2021,Motor Vehicles / Automotive,2966,2.986637666273953,14.6,-11.613362333726046
2021,Other,12440,12.52655851936884,12.6,-0.07344148063116052
2021,Power / Energy,1755,1.767211430988128,7.0,-5.232788569011872
2022,Academic Institutions,8329,9.641720206054291,12.3,-2.6582797939457095
2022,Aerospace,1968,2.2781732939746484,13.9,-11.621826706025352
2022,Architectural,6425,7.437633848469064,4.3,3.137633848469064
2022,Consumer Products / Electronics,14943,17.29814203854836,14.5,2.7981420385483595
2022,Government / Military,4981,5.766047346182787,6.1,-0.33395265381721284
2022,Medical / Dental,7146,8.272269491231118,12.1,-3.827730508768882
2022,Motor Vehicles / Automotive,2805,3.2470915089425247,15.8,-12.552908491057476
2022,Other,10831,12.538056375528159,13.3,-0.7619436244718418
2022,Power / Energy,1745,2.0200266249927648,7.8,-5.779973375007235
2023,Academic Institutions,5268,8.892940342347817,9.7,-0.8070596576521822
2023,Aerospace,2901,4.897194368479692,13.3,-8.402805631520309
2023,Architectural,4849,8.185624092643236,4.5,3.685624092643236
2023,Consumer Products / Electronics,12064,20.36530605354671,14.0,6.3653060535467105
2023,Government / Military,3518,5.938755528545866,9.6,-3.6612444714541335
2023,Medical / Dental,4805,8.111347445896214,13.7,-5.588652554103785
2023,Motor Vehicles / Automotive,1735,2.928863229683649,14.4,-11.47113677031635
2023,Other,7444,12.566258145109558,14.5,-1.9337418548904424
2023,Power / Energy,1197,2.020662412640535,6.3,-4.279337587359465
